group,scores,logfoldchanges,pvals,pvals_adj,gene_name,mean,std,median,count,sum,nonzero,perc_expressing,is_TF,is_neuropeptide
C1,3.0089386,6.674048,0.002621621827921064,0.006629449344874053,1700120O09Rik,0.09306049346923828,0.6616799235343933,0.0,21000.0,1954.2703857421875,414,0.019714285714285715,False,False
C1,7.829288,4.8768888,4.906406888995674e-15,2.856087262212116e-14,4921518K17Rik,0.2516936957836151,1.0760482549667358,0.0,21000.0,5285.5673828125,1109,0.052809523809523806,False,False
C1,19.57371,4.6348405,2.5911833958499035e-85,1.1742324755876777e-83,Lmx1a,0.6967709064483643,1.7836945056915283,0.0,21000.0,14632.189453125,2830,0.13476190476190475,True,False
C1,10.948227,4.198134,6.776090036967313e-28,7.540355964760251e-27,Lmx1b,0.3567473292350769,1.2553585767745972,0.0,21000.0,7491.69384765625,1593,0.07585714285714286,True,False
C1,5.695292,4.067644,1.2316090008811187e-08,4.7970347469817895e-08,4930438E09Rik,0.19658727943897247,0.9794782996177673,0.0,21000.0,4128.3330078125,829,0.03947619047619048,False,False
C1,66.34771,4.064768,0.0,0.0,Htr2c,3.735454559326172,3.0758450031280518,5.076566696166992,21000.0,78444.546875,12849,0.6118571428571429,False,False
C1,13.020692,3.8221943,9.332137215144608e-39,1.518593237737168e-37,Ttc6,0.45839378237724304,1.4522677659988403,0.0,21000.0,9626.26953125,1942,0.09247619047619048,False,False
C1,6.401526,3.7723458,1.5383170464813024e-10,6.806183825003785e-10,Irx5,0.20825324952602386,0.9674527645111084,0.0,21000.0,4373.318359375,943,0.044904761904761906,True,False
C1,4.3746123,3.7047029,1.2164855356368494e-05,3.81493273971461e-05,Onecut3,0.14128310978412628,0.7962164878845215,0.0,21000.0,2966.9453125,650,0.030952380952380953,True,False
C1,53.328297,3.521416,0.0,0.0,Gm32647,3.297302484512329,3.225191116333008,4.416934967041016,21000.0,69243.3515625,11095,0.5283333333333333,False,False
C1,3.4399586,3.503799,0.0005818034374794664,0.0015716281279762236,Gm10578,0.11218834668397903,0.7144763469696045,0.0,21000.0,2355.955322265625,513,0.024428571428571428,False,False
C1,2.4088187,3.4467473,0.016004248184088837,0.037146101647982425,Lhx6,0.0830058678984642,0.6326614618301392,0.0,21000.0,1743.123291015625,362,0.017238095238095236,True,False
C1,21.49405,3.3860805,1.7698632726254986e-102,1.0196039910803446e-100,Ebf3,0.8756070733070374,2.0115489959716797,0.0,21000.0,18387.748046875,3416,0.16266666666666665,True,False
C1,3.4242823,3.2181685,0.0006164255894078865,0.001661034975329208,C130021I20Rik,0.11142662167549133,0.7037994265556335,0.0,21000.0,2339.958984375,521,0.02480952380952381,False,False
C1,12.072044,3.1788762,1.4840172313470324e-33,2.0311016830997614e-32,Onecut1,0.4381263852119446,1.4050847291946411,0.0,21000.0,9200.654296875,1895,0.09023809523809524,True,False
C1,17.262009,3.1277459,9.089313637472366e-67,2.9736057409276436e-65,9330158H04Rik,0.6387752294540405,1.6534672975540161,0.0,21000.0,13414.2802734375,2775,0.13214285714285715,False,False
C1,4.7724476,3.0924194,1.820004001570327e-06,6.077188578194856e-06,Emx2os,0.16839717328548431,0.8890984058380127,0.0,21000.0,3536.340576171875,740,0.035238095238095235,False,False
